COUNTRY,ISO,SAME,OPPOSE,PARTIAL,ABSENT,COINCIDENCE
Jordan,JOR,0,19,2,0,0.05
Kazakhstan,KAZ,0,19,2,0,0.05
Kenya,KEN,1,18,1,1,0.08
Kiribati,KIR,0,0,1,20,0.5
DPRK,PRK,0,19,2,0,0.05
Republic of Korea,KOR,0,14,7,0,0.17
Kuwait,KWT,0,19,2,0,0.05
Kyrgyzstan,KGZ,0,19,2,0,0.05
Laos,LAO,0,19,2,0,0.05
Latvia,LVA,0,13,8,0,0.19
Lebanon,LBN,0,19,2,0,0.05
Lesotho,LSO,0,17,3,1,0.08
Liberia,LBR,0,6,0,15,0
Libya,LBY,0,19,2,0,0.05
Liechtenstein,LIE,0,14,7,0,0.17
Lithuania,LTU,0,13,8,0,0.19
Luxembourg,LUX,0,13,8,0,0.19
North Macedonia,MKD,0,14,7,0,0.17
Madagascar,MDG,0,6,0,15,0
Malawi,MWI,0,5,1,15,0.08
Malaysia,MYS,0,19,2,0,0.05
Maldives,MDV,0,19,2,0,0.05
Mali,MLI,0,19,2,0,0.05
Malta,MLT,0,16,5,0,0.12
Marshall Islands,MHL,20,0,0,1,1
Mauritania,MRT,0,19,2,0,0.05
Mauritius,MUS,0,19,2,0,0.05
Mexico,MEX,1,9,11,0,0.31
Micronesia,FSM,20,0,0,1,1
Moldova,MDA,0,13,7,1,0.18
Monaco,MCO,0,13,8,0,0.19
Mongolia,MNG,0,15,3,3,0.08
Montenegro,MNE,0,14,7,0,0.17
Morocco,MAR,0,19,2,0,0.05
Mozambique,MOZ,0,19,2,0,0.05
Myanmar,MMR,0,2,1,18,0.17
Namibia,NAM,0,19,2,0,0.05
Nauru,NRU,18,1,2,0,0.9
Nepal,NPL,0,19,2,0,0.05
Netherlands,NLD,0,13,8,0,0.19
New Zealand,NZL,0,14,7,0,0.17
Nicaragua,NIC,0,19,2,0,0.05
Niger,NER,0,5,0,16,0
Nigeria,NGA,0,17,2,2,0.05
Norway,NOR,0,14,7,0,0.17
Oman,OMN,0,19,2,0,0.05
Pakistan,PAK,0,19,2,0,0.05
Palau,PLW,11,0,1,9,0.96
Panama,PAN,1,12,8,0,0.24
Papua New Guinea,PNG,1,6,14,0,0.38
Paraguay,PRY,2,4,15,0,0.45
Peru,PER,0,16,5,0,0.12
Philippines,PHL,0,17,4,0,0.1
Poland,POL,0,12,9,0,0.21
Portugal,PRT,0,14,7,0,0.17
Qatar,QAT,0,17,2,2,0.05
Romania,ROU,0,12,9,0,0.21
Russian Federation,RUS,0,16,5,0,0.12
Rwanda,RWA,1,4,7,9,0.38
Saint Kitts and Nevis,KNA,0,18,2,1,0.05
Saint Lucia,LCA,0,17,2,2,0.05
Saint Vincent and the Grenadines,VCT,0,19,2,0,0.05
Samoa,WSM,0,17,3,1,0.08
San Marino,SMR,0,13,7,1,0.18
Sao Tome and Principe,STP,0,0,0,21,No Votes
Saudi Arabia,SAU,0,19,2,0,0.05
Senegal,SEN,0,19,2,0,0.05
Serbia,SRB,0,14,7,0,0.17
Seychelles,SYC,0,11,0,10,0
Sierra Leone,SLE,0,18,2,1,0.05
Singapore,SGP,0,19,2,0,0.05
Slovakia,SVK,0,14,7,0,0.17
Slovenia,SVN,0,14,7,0,0.17
Solomon Islands,SLB,6,7,8,0,0.48
Somalia,SOM,0,11,0,10,0
South Africa,ZAF,0,19,2,0,0.05
South Sudan,SSD,2,0,14,5,0.56
Spain,ESP,0,14,7,0,0.17
Sri Lanka,LKA,0,19,2,0,0.05
Sudan,SDN,0,19,2,0,0.05
Suriname,SUR,0,19,2,0,0.05
eSwatini,SWZ,0,3,0,18,0
Sweden,SWE,0,14,7,0,0.17
Switzerland,CHE,0,14,7,0,0.17
Syrian Arab Republic,SYR,0,19,2,0,0.05
Tajikistan,TJK,0,19,2,0,0.05
United Republic of Tanzania,TZA,0,19,2,0,0.05
Thailand,THA,0,18,3,0,0.07
Timor-Leste,TLS,0,11,3,7,0.11
Togo,TGO,2,5,14,0,0.43
Tonga,TON,1,4,9,7,0.39
Trinidad and Tobago,TTO,0,17,3,1,0.08
Tunisia,TUN,0,19,2,0,0.05
Türkiye,TUR,0,19,2,0,0.05
Turkmenistan,TKM,0,17,2,2,0.05
Tuvalu,TUV,1,9,4,7,0.21
Uganda,UGA,0,18,3,0,0.07
Ukraine,UKR,0,13,7,1,0.18
United Arab Emirates,ARE,0,19,2,0,0.05
United Kingdom,GBR,2,13,6,0,0.24
Uruguay,URY,0,18,3,0,0.07
Uzbekistan,UZB,0,19,2,0,0.05
Vanuatu,VUT,2,3,10,6,0.47
Venezuela,VEN,0,19,2,0,0.05
Viet Nam,VNM,0,19,2,0,0.05
Yemen,YEM,0,19,2,0,0.05
Zambia,ZMB,0,18,2,1,0.05
Zimbabwe,ZWE,0,19,2,0,0.05
