COUNTRY,ISO,SAME,OPPOSE,PARTIAL,ABSENT,COINCIDENCE
Sudan,SDN,11,40,19,18,0.34
Suriname,SUR,30,47,10,1,0.40
Sweden,SWE,52,16,20,0,0.70
Switzerland,CHE,41,22,25,0,0.61
Syria,SYR,4,65,18,1,0.15
Tajikistan,TJK,14,48,18,8,0.31
Thailand,THA,25,48,15,0,0.37
Timor Leste,TLS,26,42,9,11,0.41
Togo,TGO,20,39,27,2,0.39
Tonga,TON,17,28,22,21,0.44
Trinidad and Tobago,TTO,24,49,14,1,0.36
Tunisia,TUN,20,46,18,4,0.35
Turkey,TUR,43,25,17,3,0.60
Turkmenistan,TKM,9,44,9,26,0.30
Tuvalu,TUV,19,24,15,30,0.47
Uganda,UGA,17,48,18,5,0.32
Ukraine,UKR,57,12,18,1,0.76
United Arab Emirates,ARE,20,49,19,0,0.34
United Kingdom,GBR,63,11,13,1,0.80
United Republic of Tanzania,TZA,20,46,15,7,0.35
Uruguay,URY,31,41,16,0,0.44
Uzbekistan,UZB,17,49,14,8,0.32
Vanuatu,VUT,28,35,16,9,0.46
Venezuela,VEN,0,0,0,88,.50
Vietnam,VNM,22,50,14,2,0.34
Yemen,YEM,18,49,19,2,0.32
Zambia,ZMB,21,40,11,16,0.39
Zimbabwe,ZWE,18,54,13,3,0.30
